model,mode,vmsize,time_ms,status
incept-im100-vm96-dupnas_w0.75_ir96,dupnas,96,2728,ok
incept-im100-vm96-nots_w0.5_ir32,nots,96,2883,ok
incept-im100-vm96-patchts_w0.25_ir96,patchts,96,2904,ok
incept-im100-vm96-tinyts_w0.25_ir64,tinyts,96,2762,ok
incept-im100-vm128-dupnas_w0.5_ir128,dupnas,128,2881,ok
incept-im100-vm128-nots_w0.75_ir32,nots,128,2752,ok
incept-im100-vm128-patchts_w0.5_ir128,patchts,128,2749,ok
incept-im100-vm128-tinyts_w0.5_ir96,tinyts,128,2570,ok
incept-im100-vm256-dupnas_w0.75_ir128,dupnas,256,2702,ok
incept-im100-vm256-nots_w0.75_ir64,nots,256,2565,ok
incept-im100-vm256-patchts_w0.75_ir128,patchts,256,2981,ok
incept-im100-vm256-tinyts_w0.5_ir96,tinyts,256,2924,ok
