model,mode,vmsize,time_ms,status
mbv2-im100-vm96-dupnas_w0.25_ir96,dupnas,96,2577,ok
mbv2-im100-vm96-nots_w0.25_ir32,nots,96,2535,ok
mbv2-im100-vm96-patchts_w0.25_ir64,patchts,96,2639,ok
mbv2-im100-vm96-tinyts_w0.25_ir64,tinyts,96,2805,ok
mbv2-im100-vm128-dupnas_w0.25_ir128,dupnas,128,2767,ok
mbv2-im100-vm128-nots_w0.25_ir32,nots,128,2609,ok
mbv2-im100-vm128-patchts_w0.25_ir96,patchts,128,2613,ok
mbv2-im100-vm128-tinyts_w0.25_ir96,tinyts,128,2775,ok
mbv2-im100-vm256-dupnas_w0.25_ir128,dupnas,256,2584,ok
mbv2-im100-vm256-nots_w0.25_ir64,nots,256,2654,ok
mbv2-im100-vm256-patchts_w0.25_ir128,patchts,256,2546,ok
mbv2-im100-vm256-tinyts_w0.25_ir128,tinyts,256,2745,ok
